"dbms","table_catalog","table_schema","table_name","column_name","ordinal_position","data_type","character_maximum_length","constraint_type","table_schema-2","table_name-2","column_name-2"
"postgresql","LinkGPStracking","tracking","device_status","gsm_signal",4,"integer",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","hypertable","num_dimensions",6,"smallint",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","gps_positions","speed",4,"real",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","compression_chunk_size","compressed_toast_size",7,"bigint",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","continuous_aggs_bucket_function","bucket_fixed_width",7,"boolean",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","bgw_policy_chunk_stats","last_time_job_run",4,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","telemetry_event","body",3,"jsonb",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","alerts","created_at",6,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","bgw_job","proc_name",8,"name",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","geofences","geom",4,"USER-DEFINED",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","dimension","column_type",4,"regtype",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","continuous_aggs_bucket_function","bucket_origin",4,"text",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","_hyper_1_7_chunk","satellites",7,"integer",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","_hyper_1_7_chunk","geom",3,"USER-DEFINED",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","public","risk_zones","updated_at",12,"timestamp without time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","bgw_job_stat","total_failures",11,"bigint",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","_hyper_1_3_chunk","heading",5,"real",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","bgw_job_stat_history","pid",3,"integer",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","daily_routes_ml","created_at",8,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","bgw_job","schedule_interval",3,"interval",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","geofences","vehicle_id",2,"bigint",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","continuous_agg_migrate_plan","user_view_definition",4,"text",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","route_clusters_ml","centroid_lng",5,"double precision",NULL,NULL,NULL,NULL,NULL
